species,n
Brachystegia_cynometroides,26
Brachystegia_floribunda,70
Brachystegia_manga,82
Brachystegia_taxifolia,38
Brachystegia_utilis,135
Brodriguesia_santosii,43
Brownea_ariza,197
Brya_ebenus,69
Butea_monosperma,586
Cadia_ellisiana,41
Cadia_purpurea,57
Cajanus_acutifolius,768
Cajanus_cajan,4610
Cajanus_goensis,69
Cajanus_mollis,28
Cajanus_scarabaeoides,923
Calicotome_infesta,162
Calicotome_spinosa,3098
Callerya_cinerea,293
Calliandra_bella,56
Calliandra_coriacea,95
Calliandra_dysantha,501
Calliandra_eriophylla,2018
Calliandra_erubescens,40
Calliandra_foliolosa,269
Calliandra_guildingii,62
Calliandra_haematocephala,620
Calliandra_haematomma,93
Calliandra_harrisii,27
Calliandra_houstoniana,2863
Calliandra_humilis,483
Calliandra_juzepczukii,73
Calliandra_macrocalyx,109
Calliandra_parviflora,284
Calliandra_parvifolia,194
Calliandra_pittieri,293
Calliandra_rubescens,152
Calliandra_surinamensis,490
Calliandra_tergemina,596
Calliandra_trinervia,366
Calopogonium_caeruleum,888
Calpocalyx_dinklagei,250
Calpurnia_aurea,326
Campsiandra_comosa,145
Camptosema_coriaceum,377
Camptosema_pedicellatum,64
Camptosema_rubicundum,91
Campylotropis_macrocarpa,532
Canavalia_africana,91
Canavalia_brasiliensis,770
Canavalia_cathartica,330
Canavalia_gladiata,187
Canavalia_lineata,229
Canavalia_rosea,1930
Caragana_arborescens,9869
Caragana_aurantiaca,47
Caragana_brevispina,36
Caragana_erinacea,80
Caragana_frutex,1295
Caragana_korshinskii,87
Caragana_leveillei,29
Caragana_microphylla,260
Caragana_polourensis,22
Caragana_rosea,158
Caragana_sinica,236
Caragana_versicolor,198
Caragana_zahlbruckneri,24
Carmichaelia_arborea,500
Carmichaelia_exsul,4
Carmichaelia_kirkii,32
Carmichaelia_odorata,98
Carmichaelia_petriei,519
Cassia_abbreviata,399
Cassia_bakeriana,36
Cassia_brewsteri,260
Cassia_cowanii,47
Cassia_fastuosa,89
Cassia_ferruginea,282
Cassia_fistula,2002
Cassia_grandis,709
Cassia_leiandra,157
Cassia_leptophylla,96
Cassia_marksiana,118
Cassia_moschata,224
Cassia_roxburghii,39
Cassia_spruceana,63
Castanospermum_australe,795
Cathormion_umbellatum,535
Cedrelinga_cateniformis,275
Cenostigma_macrophyllum,451
Cenostigma_tocantinum,81
Centrolobium_microchaete,60
Centrolobium_paraense,133
Centrolobium_robustum,29
Centrolobium_tomentosum,174
Centrosema_acutifolium,43
Centrosema_angustifolium,252
Centrosema_arenarium,109
Centrosema_bracteosum,123
Centrosema_brasilianum,969
Centrosema_macrocarpum,395
Centrosema_molle,914
Centrosema_pascuorum,242
Centrosema_plumieri,931
Centrosema_pubescens,2490
Centrosema_rotundifolium,37
Centrosema_sagittatum,445
Centrosema_schottii,255
Centrosema_venosum,140
Centrosema_vexillatum,46
Centrosema_virginianum,5167
Ceratonia_siliqua,17624
Cercis_canadensis,20748
Cercis_glabra,86
Cercis_siliquastrum,8680
Chadsia_grevei,189
Chamaecrista_absus,1317
Chamaecrista_adiantifolia,104
Chamaecrista_apoucouita,75
Chamaecrista_biensis,140
Chamaecrista_calycioides,167
Chamaecrista_chamaecristoides,195
Chamaecrista_ciliolata,42
Chamaecrista_comosa,159
Chamaecrista_conferta,269
Chamaecrista_cytisoides,118
Chamaecrista_decumbens,51
Chamaecrista_dentata,26
Chamaecrista_desvauxii,2073
Chamaecrista_diphylla,775
Chamaecrista_duartei,43
Chamaecrista_ensiformis,367
Chamaecrista_fagonioides,269
Chamaecrista_fasciculata,11504
Chamaecrista_flexuosa,1270
Chamaecrista_glandulosa,513
Chamaecrista_hispidula,532
Chamaecrista_isidorea,58
Chamaecrista_kirkii,282
Chamaecrista_kunthiana,337
Chamaecrista_leschenaultiana,286
Chamaecrista_lineata,101
Chamaecrista_neesiana,127
Chamaecrista_negrensis,65
Chamaecrista_nictitans,6567
Chamaecrista_nomame,1775
Chamaecrista_orbiculata,222
Chamaecrista_pilosa,133
Chamaecrista_planaltoana,49
Chamaecrista_pumila,61
Chamaecrista_ramosa,1162
Chamaecrista_repens,323
Chamaecrista_rotundifolia,2267
Chamaecrista_serpens,555
Chamaecrista_stricta,106
Chamaecrista_viscosa,266
Chamaecrista_xinguensis,29
Chesneya_cuneata,72
Chloroleucon_dumosum,92
Chloroleucon_foliolosum,225
Chloroleucon_mangense,1182
Chloroleucon_tortum,87
Chorizema_aciculare,428
Chorizema_cordatum,214
Chorizema_cytisoides,43
Chorizema_diversifolium,117
Chorizema_parviflorum,649
Chorizema_reticulatum,108
Christia_obcordata,127
Cicer_arietinum,8467
Cicer_echinospermum,41
Cicer_pinnatifidum,66
Cicer_reticulatum,28
Cladrastis_sikokiana,148
Cladrastis_wilsonii,74
Clathrotropis_macrocarpa,312
Clathrotropis_nitida,113
Clianthus_puniceus,63
Clitoria_amazonum,119
Clitoria_arborea,128
Clitoria_australis,129
Clitoria_fairchildiana,318
Clitoria_falcata,521
Clitoria_guianensis,509
Clitoria_javitensis,269
Clitoria_laurifolia,283
Clitoria_mariana,2754
Clitoria_sagotii,59
Clitoria_ternatea,4053
Codariocalyx_gyroides,235
Codariocalyx_motorius,265
Cojoba_arborea,854
Collaea_speciosa,381
Cologania_angustifolia,685
Cologania_broussonetii,835
Colutea_arborescens,9806
Colutea_cilicica,232
Colutea_orientalis,108
Colvillea_racemosa,33
Conzattia_multiflora,259
Copaifera_baumiana,39
Copaifera_duckei,75
Copaifera_langsdorffii,1297
Copaifera_lucens,52
Copaifera_multijuga,82
Copaifera_officinalis,48
Copaifera_trapezifolia,115
Coronilla_coronata,1357
Coronilla_juncea,4002
Coronilla_minima,14150
Coronilla_repanda,269
Coronilla_scorpioides,7829
Coronilla_vaginalis,1549
Coronilla_valentina,3444
Coursetia_caribaea,1210
Coursetia_ferruginea,153
Craibia_brevicaudata,122
Cranocarpus_martii,16
Cratylia_argentea,296
Crotalaria_acicularis,50
Crotalaria_agatiflora,248
Crotalaria_alata,288
Crotalaria_albida,428
Crotalaria_alexandri,41
Crotalaria_angulata,58
Crotalaria_anthyllopsis,39
Crotalaria_argyraea,44
Crotalaria_atrorubens,124
Crotalaria_axillaris,136
Crotalaria_barkae,128
Crotalaria_bongensis,68
Crotalaria_bracteata,30
Crotalaria_brevidens,139
Crotalaria_breviflora,96
Crotalaria_brevis,899
Crotalaria_burkeana,92
Crotalaria_calycina,555
Crotalaria_capensis,275
Crotalaria_caudata,56
Crotalaria_cephalotes,215
Crotalaria_chinensis,85
Crotalaria_cleomifolia,148
Crotalaria_comosa,117
Crotalaria_cunninghamii,897
Crotalaria_damarensis,105
Crotalaria_deserticola,96
Crotalaria_dissitiflora,658
Crotalaria_distans,120
Crotalaria_doidgeae,39
Crotalaria_dura,47
Crotalaria_eremicola,46
Crotalaria_excisa,69
Crotalaria_glauca,370
Crotalaria_globifera,115
Crotalaria_goreensis,1113
Crotalaria_holosericea,124
Crotalaria_humifusa,74
Crotalaria_humilis,32
Crotalaria_hyssopifolia,175
Crotalaria_incana,2112
Crotalaria_juncea,673
Crotalaria_laburnifolia,522
Crotalaria_lachnocarpoides,125
Crotalaria_lachnophora,122
Crotalaria_lanceolata,971
Crotalaria_linifolia,286
Crotalaria_longirostrata,552
Crotalaria_maypurensis,690
Crotalaria_medicaginea,2797
Crotalaria_micans,1225
Crotalaria_microcarpa,536
Crotalaria_mitchellii,392
Crotalaria_monteiroi,157
Crotalaria_mysorensis,51
Crotalaria_natalitia,221
Crotalaria_nitens,385
Crotalaria_novae-hollandiae,1228
Crotalaria_obscura,44
Crotalaria_ochroleuca,241
Crotalaria_pallida,3362
Crotalaria_paulina,125
Crotalaria_perrottetii,89
Crotalaria_pilosa,206
Crotalaria_pisicarpa,60
Crotalaria_platysepala,70
Crotalaria_podocarpa,227
Crotalaria_polysperma,85
Crotalaria_prostrata,62
Crotalaria_pumila,1700
Crotalaria_quinquefolia,83
Crotalaria_recta,159
Crotalaria_retusa,2966
Crotalaria_rogersii,30
Crotalaria_sagittalis,1708
Crotalaria_saharae,96
Crotalaria_senegalensis,127
Crotalaria_sessiliflora,698
Crotalaria_shirensis,28
Crotalaria_spartea,32
Crotalaria_sphaerocarpa,272
Crotalaria_spinosa,141
Crotalaria_stipularia,386
Crotalaria_subcapitata,188
Crotalaria_tetragona,61
Crotalaria_trichotoma,509
Crotalaria_uncinella,141
Crotalaria_vallicola,37
Crotalaria_vasculosa,50
Crotalaria_velutina,116
Crotalaria_verrucosa,742
Crotalaria_virgulata,158
Crotalaria_vitellina,309
Crotalaria_xanthoclada,71
Crudia_amazonica,120
Crudia_aromatica,31
Crudia_bracteata,26
Crudia_oblonga,77
Crudia_tomentosa,38
Cryptosepalum_maraviense,142
Cullen_americanum,80
Cullen_corylifolium,124
Cullen_tomentosum,182
Cyamopsis_serrata,57
Cyamopsis_tetragonoloba,44
Cyclopia_buxifolia,30
Cyclopia_galioides,48
Cyclopia_genistoides,104
Cyclopia_intermedia,144
Cyclopia_maculata,63
Cyclopia_meyeriana,31
Cyclopia_pubescens,18
Cylicodiscus_gabunensis,114
Cymbosema_roseum,136
Cynometra_cauliflora,37
Cynometra_hankei,76
Cynometra_retusa,152
Cytisophyllum_sessilifolium,8205
Cytisus_arboreus,662
Cytisus_balansae,219
Cytisus_decumbens,1556
Cytisus_multiflorus,2144
Cytisus_proliferus,914
Cytisus_scoparius,121580
Cytisus_striatus,2904
Cytisus_supranubius,153
Cytisus_villosus,2596
Dahlstedtia_pinnata,141
Dalbergia_arbutifolia,175
Dalbergia_armata,285
Dalbergia_assamica,264
Dalbergia_baronii,35
Dalbergia_benthamii,86
Dalbergia_boehmii,233
Dalbergia_brasiliensis,128
Dalbergia_candenatensis,124
Dalbergia_chapelieri,45
Dalbergia_cultrata,84
Dalbergia_dyeriana,215
Dalbergia_ecastaphyllum,921
Dalbergia_fischeri,89
Dalbergia_frutescens,922
Dalbergia_hainanensis,13
Dalbergia_hancei,355
Dalbergia_horrida,60
Dalbergia_hupeana,446
Dalbergia_inundata,182
Dalbergia_lactea,296
Dalbergia_lanceolaria,125
Dalbergia_latifolia,119
Dalbergia_louvelii,37
Dalbergia_madagascariensis,40
Dalbergia_melanoxylon,868
Dalbergia_millettii,318
Dalbergia_miscolobium,490
Dalbergia_monticola,76
Dalbergia_nigra,196
Dalbergia_nitidula,257
Dalbergia_obovata,241
Dalbergia_odorifera,37
Dalbergia_oligophylla,33
Dalbergia_oliveri,93
Dalbergia_ovata,79
Dalbergia_pinnata,224
Dalbergia_purpurascens,91
Dalbergia_retusa,213
Dalbergia_riedelii,180
Dalbergia_riparia,89
Dalbergia_sericea,62
Dalbergia_sissoo,590
Dalbergia_spruceana,89
Dalbergia_stipulacea,163
Dalbergia_subcymosa,30
Dalbergia_trichocarpa,135
Dalbergia_tsoi,16
Dalbergia_villosa,59
Dalea_albiflora,439
Dalea_aurea,933
Dalea_candida,3596
