"Phy","introduced","native","num_introduced","total_area_introduced","total_area_native","lat_native","tribe","genus","subfamily","tribe_ncbi","fixer","abs_lat_native","woody","annual","uses_num_uses","submitted_name","matched_name","data_source_title","score","num_words","diff","RangeY","domY","efnY","n.records","sum.AM","sum.EM","AM","EM","EFN","matched_name_EFN","Domatia","Count"
"Aspalathus alopecurus",0,1,0,0,2.67e+12,-25.48651667,"Crotalarieae","Aspalathus","Papilionoideae","Crotalarieae",1,25.48651667,1,0,0,"Aspalathus alopecurus","Aspalathus alopecurus","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,662
"Aspalathus angustifolia",0,1,0,0,2.67e+12,-25.48651667,"Crotalarieae","Aspalathus","Papilionoideae","Crotalarieae",1,25.48651667,1,0,0,"Aspalathus angustifolia","Aspalathus angustifolia","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,3931
"Aspalathus araneosa",0,1,0,0,2.67e+12,-25.48651667,"Crotalarieae","Aspalathus","Papilionoideae","Crotalarieae",1,25.48651667,1,0,0,"Aspalathus araneosa","Aspalathus araneosa","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,353
"Aspalathus argyrophanes",0,1,0,0,2.67e+12,-25.48651667,"Crotalarieae","Aspalathus","Papilionoideae","Crotalarieae",1,25.48651667,1,0,0,"Aspalathus argyrophanes","Aspalathus argyrophanes","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,329
"Aspalathus aspalathoides",0,1,0,0,2.67e+12,-25.48651667,"Crotalarieae","Aspalathus","Papilionoideae","Crotalarieae",1,25.48651667,1,0,0,"Aspalathus aspalathoides","Aspalathus aspalathoides","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,369
"Aspalathus asparagoides",0,1,0,0,2.67e+12,-25.48651667,"Crotalarieae","Aspalathus","Papilionoideae","Crotalarieae",1,25.48651667,1,0,0,"Aspalathus asparagoides","Aspalathus asparagoides","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,366
"Aspalathus astroites",0,1,0,0,2.67e+12,-25.48651667,"Crotalarieae","Aspalathus","Papilionoideae","Crotalarieae",1,25.48651667,1,0,0,"Aspalathus astroites","Aspalathus astroites","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,332
"Aspalathus biflora",0,1,0,0,2.67e+12,-25.48651667,"Crotalarieae","Aspalathus","Papilionoideae","Crotalarieae",1,25.48651667,1,0,0,"Aspalathus biflora","Aspalathus biflora","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,499
"Aspalathus bodkinii",0,1,0,0,2.67e+12,-25.48651667,"Crotalarieae","Aspalathus","Papilionoideae","Crotalarieae",1,25.48651667,1,0,0,"Aspalathus bodkinii","Aspalathus bodkinii","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,329
"Aspalathus bracteata",0,1,0,0,2.67e+12,-25.48651667,"Crotalarieae","Aspalathus","Papilionoideae","Crotalarieae",1,25.48651667,1,0,0,"Aspalathus bracteata","Aspalathus bracteata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,744
"Aspalathus capensis",0,1,0,0,2.67e+12,-25.48651667,"Crotalarieae","Aspalathus","Papilionoideae","Crotalarieae",1,25.48651667,1,0,0,"Aspalathus capensis","Aspalathus capensis","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,2708
"Aspalathus carnosa",0,1,0,0,2.67e+12,-25.48651667,"Crotalarieae","Aspalathus","Papilionoideae","Crotalarieae",1,25.48651667,1,0,0,"Aspalathus carnosa","Aspalathus carnosa","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,461
"Aspalathus cephalotes",0,1,0,0,2.67e+12,-25.48651667,"Crotalarieae","Aspalathus","Papilionoideae","Crotalarieae",1,25.48651667,1,0,0,"Aspalathus cephalotes","Aspalathus cephalotes","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,642
