"","species","n","precip_maxquant","precip_minquant","precip_mean","precip_median","nitro_maxquant","nitro_minquant","nitro_mean","nitro_median","temp_maxquant","temp_minquant","temp_mean","temp_median","max_lat","min_lat","mean_lat","median_lat","quant95","quant005","Phy","introduced","native","num_introduced","total_area_introduced","total_area_native","lat_native","tribe","genus","subfamily","tribe_ncbi","fixer","abs_lat_native","woody","annual","uses_num_uses","submitted_name","matched_name","data_source_title","score","num_words","diff","RangeY","domY","efnY","n.records","sum.AM","sum.EM","AM","EM","EFN","matched_name_EFN","Domatia","Count","precip_range","temp_range","nitro_range"
"34","Alysicarpus_vaginalis",1461,2992,769,1648.81930184805,1530,518,78,234.887748117728,180,27.6875,20.2749996185303,24.2588894561412,24.2250003814697,33.9,-29.597833,8.60796070438056,15,25.756437,-21.938524,"Alysicarpus vaginalis",1,1,6,1.52e+12,2.68e+13,9.65438128,"Desmodieae","Alysicarpus","Papilionoideae","Desmodieae","1",9.65438128,0,0,6,"Alysicarpus vaginalis","Alysicarpus vaginalis","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,9,9,0,"Y","N","0",NA,0,5287,2223,7.4125003814697,440
"35","Amorpha_fruticosa",8381,1492,349,825.2307600525,743,473,102,245.446844052022,204,19.1375007629395,6.84166669845581,11.9996132134765,11.5208330154419,57.270455,-34.418739,41.6624002942728,43.995755,51.295789,30.416667,"Amorpha fruticosa",1,1,24,2.4e+13,1.81e+13,34.25752634,"Amorpheae","Amorpha","Papilionoideae","Amorpheae","1",34.25752634,1,0,1,"Amorpha fruticosa","Amorpha fruticosa","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,4,4,0,"Y","N","0",NA,0,1297,1143,12.2958340644837,371
"36","Andira_inermis",1258,3631.2,959.4,2087.41494435612,1946.5,531,108,279.693958664547,248,27.888750743866,22.04458360672,25.4209393169997,25.7645835876465,30.6041,-30.743159,7.83154911192369,9.780278,18.97521945,-16.261509625,"Andira inermis",1,1,6,2.84e+12,2.28e+13,9.47607629,"Dalbergieae","Andira","Papilionoideae","Dalbergieae","1",9.47607629,1,0,6,"Andira inermis","Andira inermis","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,2,2,0,"Y","N","0",NA,0,1781,2671.8,5.84416713714602,423
"37","Apios_americana",4716,1481.25,783.75,1114.46692111959,1121,613,104,300.016115351993,251,18.8708324432373,5.75833320617676,11.0424591745989,9.97500038146973,52.202078,25.322322,39.8871821096268,41.121821,45.543055,31.174892,"Apios americana",1,1,2,1.52e+12,1.76e+13,51.04190951,"Phaseoleae","Apios","Papilionoideae","Phaseoleae","1",51.04190951,0,0,2,"Apios americana","Apios americana","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"1","Apios americana",0,31810,697.5,13.1124992370605,509
"38","Arachis_glabrata",768,1677.65,1249.05,1458.0390625,1446,232.6,108,177.0234375,153,24.7402081489563,20.6660413742066,22.7381998635828,22.9229164123535,31.148706,-37.147936,-20.0894442852865,-22.07716,-14.394,-27.7765,"Arachis glabrata",1,1,3,1.33e+12,1.17e+13,-20.47849081,"Aeschynomeneae","Arachis","Papilionoideae","Dalbergieae","1",20.47849081,0,0,0,"Arachis glabrata","Arachis glabrata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,0,8700,428.6,4.07416677474968,124.6
"39","Arachis_hypogaea",4106,2368.75,518,1196.29079396006,1049,351,62,162.192644909888,134,28.1666660308838,17.3072919845581,23.6453523396996,24.5375003814697,56.271426,-31.81864,1.72452172898198,5.101693,26.89509975,-21.76500025,"Arachis hypogaea",1,1,67,6.37e+13,1.2e+13,-5.36188821,"Aeschynomeneae","Arachis","Papilionoideae","Dalbergieae","1",5.36188821,0,1,7,"Arachis hypogaea","Arachis hypogaea","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,12,12,0,"Y","N","0",NA,0,5117,1850.75,10.8593740463257,289
"40","Arachis_pintoi",433,3588.8,860.6,1772.36027713626,1431,520,131,241.785219399538,177,25.0933334350586,18.8058330535889,22.6494803461687,23.1041660308838,14.78744,-27.395278,-8.91039734642032,-14.0958,6.81483479999999,-22.2483694,"Arachis pintoi",0,1,0,0,2.48e+11,-22.26103654,"Aeschynomeneae","Arachis","Papilionoideae","Dalbergieae","1",22.26103654,0,0,0,"Arachis pintoi","Arachis pintoi","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,0,5075,2728.2,6.28750038146972,389
"41","Astragalus_cicer",5430,1152,442.45,675.123756906077,605,557,166,301.46335174954,274,10.25,3.15187517404556,6.93296653814948,7.66666650772095,60.547,36.741428,49.7610292644383,49.97,55.31108895,40.7945,"Astragalus cicer",1,1,6,2.75e+12,1.57e+13,48.64765782,"Galegeae","Astragalus","Papilionoideae","Galegeae","1",48.64765782,0,0,3,"Astragalus cicer","Astragalus cicer","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,0,7750,709.55,7.09812482595444,391
"42","Astragalus_hamosus",3457,886,292,562.653746022563,545,302,98,170.874746890367,156,18.9624996185303,10.840832901001,14.5801236540519,14.3874998092651,50.85,-37.69644,38.1676839578826,39.81,44.37458,31.38,"Astragalus hamosus",1,1,2,7.92e+12,1.99e+13,39.3415933,"Galegeae","Astragalus","Papilionoideae","Galegeae","1",39.3415933,0,1,2,"Astragalus hamosus","Astragalus hamosus","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,0,3900,594,8.12166671752928,204
"43","Astragalus_sinicus",757,2286.8,957.4,1551.83355350066,1465,478,132,268.507265521797,252,19.978332901001,10.6791666030884,15.0743119886718,15.1333332061768,43.82055,22.01071,31.6047541836196,33.445833,36.573154,23.5462156,"Astragalus sinicus",0,1,0,0,3.44e+12,26.06009224,"Galegeae","Astragalus","Papilionoideae","Galegeae","1",26.06009224,0,0,1,"Astragalus sinicus","Astragalus sinicus","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,6,6,0,"Y","N","0",NA,0,4179,1329.4,9.29916629791259,346
"44","Baptisia_australis",1683,1249.9,740.1,979.208556149733,985,391,112,214.689839572193,191,16.3720832824707,6.99958343505859,12.0597073723005,12.5874996185303,47.619248,30.899417,38.9416786322044,38.780217,44.064007,34.4242977,"Baptisia australis",1,1,2,1.36e+13,1.09e+13,38.25573071,"Thermopsideae","Baptisia","Papilionoideae","Sophoreae","1",38.25573071,0,0,0,"Baptisia australis","Baptisia australis","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,0,7256,509.8,9.3724998474121,279
