species,n,precip_maxquant,precip_minquant,precip_mean,precip_median,nitro_maxquant,nitro_minquant,nitro_mean,nitro_median,temp_maxquant,temp_minquant,temp_mean,temp_median,max_lat,min_lat,mean_lat,median_lat,median_long,quant95,quant005,num_biome,biome,precip_range,temp_range,nitro_range,genus,fixer,woody,annual,uses_num_uses,Domatia,EFN
Astragalus_sesameus,3300,674.0499999999997,334,443.4209090909088,410,208,105,148.88575757575762,145,17.0750007629395,10.653750467300446,14.047657838156727,14.15208339691165,48.52246,-34.340383,39.33047165975758,39.7,-0.75,42.8380815,37.020925000000005,4,12,340.0499999999997,6.421250295639053,103,Astragalus,1,0,1,0,0,0
Astragalus_sinicus,633,2585.7999999999993,1040.8,1622.2701421800944,1515,438.5999999999998,134,243.95260663507108,222,19.338332748413077,10.41999988555906,14.546583725189526,14.5625,43.64706,22.02,32.42795094470774,34.43,129.435261,36.564651600000005,24.3746668,4,4,1544.999999999999,8.918332862854017,304.5999999999998,Astragalus,1,0,0,1,0,0
Astragalus_spatulatus,775,524.5999999999999,220.7,356.75741935483865,351,279.1999999999998,92.7,171.82709677419356,159,9.004999923706055,3.0516665935516354,6.461586016070458,6.79166650772095,48.872,39.122793,42.49758050283871,41.790834,-107.184818,46.8042377,40.163816,3,13,303.8999999999999,5.95333333015442,186.49999999999983,Astragalus,1,0,0,0,0,0
Astragalus_stenoceras,45,636.9999999999998,253.8,398.4888888888889,369,439.6,240.6,339.2,348,3.272499847412112,-3.7674998283386256,0.4753703614075982,1.93333327770233,54.097954,49.50639,51.53403655555556,51.49944,85.612667,53.8998592,49.9624048,5,8,383.19999999999976,7.039999675750737,199.00000000000003,Astragalus,1,0,0,1,0,0
Astragalus_subumbellatus,73,887.5999999999997,209,481.5479452054793,417,291.99999999999994,90.2,185.8082191780822,188,23.084166336059553,1.5774998903274515,10.213527400199675,7.59166669845581,35.85,28,34.21038206849315,34.38,69.18,35.599999999999994,32.8984568,5,13,678.5999999999997,21.5066664457321,201.79999999999995,Astragalus,1,0,1,0,0,0
Astragalus_sulcatus,422,574,302.5,431.39099526066354,430,454.95,215,323.98104265402844,315,10.16854186058048,-0.5731250971555715,3.1143957302062573,2.27916657924652,57.7904,39.52,53.31099352606635,54.052032,65.134227,56.43995235,47.77462515,6,8,271.5,10.74166695773605,239.95,Astragalus,1,0,0,1,0,0
Astragalus_tenellus,710,572.0999999999999,259.9,401.5197183098592,392.5,313.54999999999995,114,202.0605633802817,194,9.1481246471405,1.5737500429153437,5.511866196456142,5.51666688919067,48.918392,33.79869,41.03996181380282,40.234202499999995,-107.19435,47.435467,36.58139385,3,5,312.19999999999993,7.574374604225155,199.54999999999995,Astragalus,1,0,0,0,0,0
Astragalus_tener,130,604.05,265,467.31538461538463,479,225.04999999999995,104.9,150.3846153846154,139,16.296458148956315,15.18708324432375,15.836025575491098,15.8604164123535,39.583611,35.387416,38.19366473,38.2999815,-121.8189245,39.274888649999994,37.1893072,2,8,339.04999999999995,1.1093749046325652,120.14999999999996,Astragalus,1,0,1,0,0,0
Astragalus_tibetanus,192,456.9,65.45000000000002,209.59895833333331,160,385.35,138.05,269.1875,274,9.463333225250231,-5.043124985694885,1.34819878488391,1.1583332419395451,50.697755,30.4608,40.707749541666665,38.974999999999994,75.74472,50.043631,34.116,4,10,391.44999999999993,14.506458210945116,247.29999999999995,Astragalus,1,0,0,1,0,0
Astragalus_tribuloides,418,442,51,215.51913875598095,190.5,152.14999999999998,40,88.05741626794253,81,23.58541631698607,14.89041614532471,18.92260762493006,18.85833263397215,46.4797,22,31.81626557894737,31.1,35.0088715,36.36766,29.8861012,7,13,391,8.69500017166136,112.14999999999998,Astragalus,1,0,1,2,0,0
