species,n,precip_maxquant,precip_minquant,precip_mean,precip_median,nitro_maxquant,nitro_minquant,nitro_mean,nitro_median,temp_maxquant,temp_minquant,temp_mean,temp_median,max_lat,min_lat,mean_lat,median_lat,median_long,quant95,quant005,num_biome,biome,precip_range,temp_range,nitro_range,genus,fixer,woody,annual,uses_num_uses,Domatia,EFN
Trifolium_uniflorum,176,986.25,436.5,707.7727272727273,711,300.5,160,217.2784090909091,211.5,18.3281240463257,11.095833539962724,14.917211109941654,15.0916666984558,43.5701,-39.916667,35.91513488068182,36.269999999999996,24.65491,39.29192425,34.99809375,3,12,549.75,7.232290506362977,140.5,Trifolium,1,0,0,0,0,0
Trifolium_variegatum,1302,1453.8500000000001,269.04999999999995,725.2672811059912,631,335.95000000000005,88,175.7764976958526,155,17.008124923706095,6.389791488647464,12.68659433974282,13.464582920074449,50.128046,30.69192,38.27799552580645,38.103663,-120.63117249999999,45.682213600000004,32.96145375,6,12,1184.8000000000002,10.61833343505863,247.95000000000005,Trifolium,1,0,1,0,0,0
Trifolium_willdenovii,3159,1369.2999999999997,297,697.3960113960107,596,285,105,176.67173156062046,165,17.53000049591067,11.10375032424926,14.650716199256578,14.7708330154419,48.998097,27.63349,36.750120516112695,37.122295,-121.088308,42.483860199999995,32.749249899999995,6,12,1072.2999999999997,6.42625017166141,180,Trifolium,1,0,1,0,0,0
Trifolium_wormskioldii,1372,1392,230,687.9744897959187,599,367,95,207.72011661807585,189,17.165832710266073,4.4547916650772095,10.15554240187386,9.68541669845581,48.82493,17.029167,35.2266188712828,36.207633200000004,-117.2441665,43.680262,19.7934835,6,5,1162,12.711041045188864,272,Trifolium,1,0,0,1,0,0
Trigonella_anguina,43,482,39.10000000000001,227.44186046511626,197,136.7,47,83.16279069767441,73,26.05708370208743,15.772499942779561,19.80397279872451,19.1749992370605,34.4,-33.332108,8.231649583720932,28.492189,20.625,33.1498088,-31.4857499,6,13,442.9,10.284583759307868,89.69999999999999,Trigonella,1,0,1,1,0,0
Trigonella_arabica,329,400.7999999999994,117.60000000000001,241.73556231003036,237,161.19999999999993,55.400000000000006,101.74468085106383,93,22.15333328247068,17.77833366394044,19.477254282015075,19.3250007629395,32.780464,29.57,31.36267308206687,31.29,34.9,32.491484,30.646,3,13,283.19999999999936,4.374999618530239,105.79999999999993,Trigonella,1,0,1,1,0,0
Trigonella_balansae,130,824.1,419.70000000000005,577.1538461538462,520.5,240.55,113.44999999999999,175.7076923076923,174.5,18.745000076293955,12.162708187103265,15.93730762188251,15.98124980926515,41.17167,26.739919,38.25907980769231,38.44222,24.006805,40.4351925,36.26022725,3,12,404.4,6.5822918891906905,127.10000000000002,Trigonella,1,0,1,2,0,0
Trigonella_berythea,94,841.6999999999999,410.85,610.3191489361702,595,260.35,131,183.20212765957447,173,19.611874580383276,15.873541688919058,17.860992928768727,18.10208320617675,33.95321,31.412706,32.51555144680851,32.66927,35.13,33.1335,31.648667,2,12,430.8499999999999,3.7383328914642178,129.35000000000002,Trigonella,1,0,1,0,0,0
Trigonella_caelesyriaca,57,617.5999999999999,233,447.50877192982455,445,198.7999999999999,85.2,139.3684210526316,142,19.723332977294938,15.38916645050048,17.97441524371767,18.091667175293,38.5333,30.683333,32.89963471929825,32.599998,35.616667,36.4917222,31.51,4,12,384.5999999999999,4.334166526794457,113.5999999999999,Trigonella,1,0,1,1,0,0
Trigonella_cylindracea,82,733.5,243.70000000000002,474.3048780487805,453,214.90000000000003,79.44999999999999,154.07317073170734,154,19.83708295822146,14.344375181198155,17.96864835227408,18.05416679382325,38.833302,30.883301,32.99230117073171,32.241645500000004,35.4631165,36.733331299999996,31.442805,4,12,489.79999999999995,5.492707777023304,135.45000000000005,Trigonella,1,0,1,0,0,0
Trigonella_emodi,70,1866.2499999999989,315.20000000000005,871.1428571428572,729.5,784.7499999999995,145.4,346.2571428571429,296.5,17.549375772476196,1.1418750107288371,7.8710714257189185,7.264583349227905,36.75,27.55,30.44506557142857,28.9333335,83.6583335,35.5275,28.0391248,6,10,1551.0499999999988,16.407500761747357,639.3499999999996,Trigonella,1,1,0,1,0,0
Trigonella_glabra,38,464.9,39.849999999999994,204.94736842105263,155,214.45,47.85,114.52631578947367,93,26.305417060852076,16.36312441825862,21.374013223146132,20.67916679382325,35.63334,-33.375,0.6460914210526335,11.816667,36.119445,31.90298795,-30.750787799999998,4,13,425.04999999999995,9.942292642593454,166.6,Trigonella,1,0,1,0,0,0
Trigonella_gladiata,1004,977.8499999999999,393.15000000000003,693.171314741036,702.5,317.6999999999998,128,204.87948207171323,194.5,15.031457853317232,9.302708625793453,12.396912355346984,12.58750009536745,46.11152,33.633333,42.601240382270916,43.56958,4.295355,44.7573023,38.1631584,4,12,584.6999999999998,5.728749227523778,189.69999999999982,Trigonella,1,0,1,0,0,0
Trigonella_spruneriana,29,844.1999999999998,216.2,448.0689655172414,309,239.19999999999993,82,144.86206896551724,123,18.7441665649414,11.07499980926516,14.917241293808509,14.9499998092651,38.9321,29.62361,36.03824627586207,37.062113,36.8,38.7860564,32.206,4,12,627.9999999999998,7.669166755676239,157.19999999999993,Trigonella,1,0,1,0,0,0
Trigonella_stellata,520,299.0999999999999,46.95,158.57499999999996,156.5,146.04999999999995,34,80.83076923076923,77.5,23.7000007629395,17.220416164398166,19.99898235431084,19.506249427795403,34.450533,17.31742,30.785260813076924,30.92,34.97,31.9604305,29.05856085,4,13,252.14999999999992,6.479584598541333,112.04999999999995,Trigonella,1,0,1,2,0,0
